stud.id,name,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
833917,"Gonzales, Christina",Female,19,160,64.8,Muslim,1.91,1st,Political Science,Social Sciences,NA,NA,0,0,NA
898539,"Lozano, T'Hani",Female,19,172,73,Other,1.56,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
379678,"Williams, Hanh",Female,22,168,70.6,Protestant,1.24,3rd,Social Sciences,Mathematics and Statistics,45,46,0,0,NA
807564,"Nem, Denzel",Male,19,183,79.7,Other,1.37,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
383291,"Powell, Heather",Female,21,175,71.4,Catholic,1.46,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
256074,"Perez, Jadrian",Male,19,189,85.8,Catholic,1.34,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
754591,"Clardy, Anita",Female,21,156,65.9,Protestant,1.11,2nd,Political Science,Social Sciences,NA,NA,0,0,NA
146494,"Allen, Rebecca Marie",Female,21,167,65.7,Other,2.03,3rd,Political Science,Economics and Finance,58,62,0,0,NA
723584,"Tracy, Robert",Male,18,195,94.4,Other,1.29,3rd,Economics and Finance,Environmental Sciences,57,67,0,0,NA
314281,"Nimmons, Laura",Female,18,165,66,Orthodox,1.19,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
200803,"Lang, Mackenzie",Female,22,162,66.8,Other,1.04,4th,Economics and Finance,Environmental Sciences,62,61,1,1,45254.10802
444907,"Rodriguez, Brianna",Female,18,172,66.8,Other,3.81,3rd,Environmental Sciences,Economics and Finance,76,82,0,0,NA
354271,"Covar Orendain, Christopher",Male,23,185,84.6,Orthodox,1,4th,Environmental Sciences,Mathematics and Statistics,71,76,1,1,40552.79024
317812,"Lopez, Monique",Female,20,158,64.4,Catholic,2.5,6th,Environmental Sciences,Social Sciences,66,70,1,1,27007.03029
